timepoint,animal_ID,colony,pitch,zero_crossings,duration,entropy_variance,mean_entropy,maximum_entropy,broadband,voiced_perc,bandwidth,n_peaks
57,0278,boffin,3170.1206197833703,0.2906452758668419,0.09416861271871929,1.782642135734556e-05,0.001286864667175323,0.01597408032885337,0.003148035588115841,0.9182652117321533,1651.8743637841924,1.1862519459375416
3,0278,boffin,2616.869845021194,0.2835313163486886,0.11531285041489121,7.314136731834174e-05,0.007058515536923532,0.02833852525978904,0.3202872148286359,0.6114827781181179,1605.611406928881,4.269088463659063
24,0278,boffin,3450.617125378139,0.3094794978084374,0.12121236613457259,5.696360276680969e-05,0.004746254431217741,0.021787486672507503,0.23320019074803625,0.7081692835151329,1593.5688757934822,4.1776303110453705
20,0278,boffin,3315.775086479336,0.31403508408405356,0.10563477338987541,6.346077578563206e-05,0.003836378386823587,0.023244147061817825,0.28203945356831683,0.6359026822886901,1518.4209084226563,4.8427189066176535
53,0278,boffin,3152.4485949246814,0.29979770802328404,0.11723792080934935,1.744639894144835e-05,0.0011014094804511036,0.01426447957798273,0.0029236601565685006,0.8987038822751912,1718.8582448226211,1.2002361614463548
17,0278,boffin,3567.6170506610874,0.33338429504919254,0.09916679850234664,5.1498656979434485e-05,0.004067861554139613,0.023234156784908276,0.3004079144250236,0.6729082673594848,1474.3600757307688,4.448051798042516
46,0278,boffin,3294.526336295331,0.32739519906670506,0.12710821752013685,3.936212253925487e-05,0.002362136545381748,0.02183412070160737,0.017695603265896576,0.8924017217630685,1675.1891257039633,1.2784378392275675
22,0278,boffin,3498.042515073694,0.31819356557188255,0.11252861678004533,7.07001653516042e-05,0.003500730039640681,0.022417206318480192,0.2159433776857256,0.7335464141701259,1503.1725099116913,4.34123251046564
15,0278,boffin,2950.332290271866,0.3222084163023809,0.11125563778624999,8.261569976406834e-05,0.006482841755620528,0.030556295894971924,0.41550280656809985,0.5586132433189959,1733.4793642217503,4.492214966135395
11,0278,boffin,2936.0481812134085,0.3283069454273182,0.08927781213495495,0.0001565634786993818,0.00914141061389633,0.042090709269556235,0.4406314098030341,0.5574468812435216,1677.0878052831,4.314510460661319
7,0278,boffin,2619.9511816725108,0.34175333903940375,0.0838539946723025,0.00017376458150543286,0.010697610704659914,0.042918412439989735,0.5031911380147162,0.5635883084229648,1932.4436895141585,3.952681407411438
36,0278,boffin,3399.79046901741,0.33794294860380364,0.14642148526077092,4.408413769310246e-05,0.0034593086529007256,0.02451341871242763,0.04016475480400704,0.9042318429981133,1681.8649564559844,1.3996782511734451
29,0278,boffin,3398.56672841572,0.3317662090852211,0.12046498292803706,5.331708350801532e-05,0.0030363751865280708,0.02670425907008568,0.21289242658654312,0.7277254819064239,1470.028299582273,3.64116632653882
59,0278,boffin,3125.92601809614,0.28526891117167646,0.09845804988662128,3.334427520163623e-05,0.0013966806637782441,0.01518749552003518,0.008438396017971613,0.9038389207244999,1517.7177617785062,1.2438196232219538
55,0278,boffin,3076.927509859579,0.28778724403032174,0.12336048320673557,3.480405761844485e-05,0.0015416368618416476,0.0173975192903304,0.010013323570423774,0.8982869444348571,1652.2251971321725,1.293409982549048
51,0278,boffin,3008.274038334461,0.27916027773580654,0.1340079365079365,1.5199522553706443e-05,0.00111785327507064,0.012096106962292756,0.006617922888303323,0.9295099767142715,1512.2141806871305,1.1800667913602796
41,0278,boffin,3326.4191564660755,0.3070577080093766,0.11470357960763072,2.469856698525554e-05,0.0014506444835376716,0.01685581547577333,0.007412766697737194,0.933418558516219,1583.329334313745,1.1952258559083877
13,0278,boffin,3008.835502333216,0.3393563983312518,0.0700902063988612,0.00012062385371022494,0.009522460110225494,0.034570141955267496,0.4899737160247886,0.6062302303924443,1575.8141174437446,4.6839991562872
9,0278,boffin,2437.2759417363272,0.3542363711552209,0.11690369229452782,0.00033820571160097303,0.01731148492399127,0.07371641733649746,0.6775134580763252,0.40148022132244754,1842.3706290520413,5.27439527822015
38,0278,boffin,3444.6340051126926,0.3193558920796531,0.14818836272373018,3.3127845166678474e-05,0.0012703895405733721,0.01846861911597853,0.009918373455221917,0.9420460160808256,1566.8201666667428,1.273634317583236
5,0278,boffin,2602.6045175021445,0.3217201013237184,0.08885219542362392,0.00017033323199493034,0.013640598169553608,0.04712638591954673,0.6165302847626962,0.46491284463926585,1865.2428601756067,6.0515365112497
31,0278,boffin,3347.762591167234,0.3274314436933237,0.12484563055991625,0.00011918203332667941,0.0031226363112193583,0.030691219572947688,0.18045815940404458,0.7388228166744365,1652.2791258868676,3.4077402571278923
27,0278,boffin,3497.259365563752,0.3299123064327306,0.09576665586869663,0.0004084983142748158,0.004650775390421375,0.03631635248389532,0.21799217520499303,0.7453016708564866,1461.1537110343606,3.563524183176143
1,0278,boffin,2463.0200775916414,0.2719327708204522,0.10759438278235266,6.484451968573739e-05,0.005865402575289549,0.02562609405003097,0.3468238893979994,0.7555092706602894,1697.4354653491928,3.367094033116287
57,0279,boffin,3481.6734792406487,0.31800111349192023,0.11249011699074907,2.914267690482303e-05,0.0017018160161482384,0.018469451738455635,0.010560921990041272,0.8912842320732843,1593.5554443992116,1.3213219098336555
3,0279,boffin,2640.369062472637,0.33980952511685397,0.11203026218167755,0.00015775300478318,0.011137346022832843,0.044697605866844736,0.5755090775351505,0.4760272794103498,1822.7820886326572,5.183488647280514
24,0279,boffin,3330.4093097281198,0.3126792443328717,0.10873550918494737,3.201896073927859e-05,0.0028114057221625428,0.020772460414679877,0.14662915649402597,0.7220588283927935,1439.0065701653334,3.0717030537255314
20,0279,boffin,3215.6923250586774,0.3282282169633153,0.084448455119009,6.28086738177567e-05,0.00603518727400423,0.025021441474254665,0.43284665900387265,0.6078517289784975,1504.2719145346819,4.824474196618295
53,0279,boffin,3557.798608259539,0.3295049347981682,0.11106894841269838,3.7038535775958694e-05,0.0019899989946573216,0.019095163866257592,0.011621143044134113,0.9094001124084242,1612.3170642918258,1.2137118678032994
17,0279,boffin,2158.158056141853,0.31952665228474275,0.07945186304974661,0.0002539432322338864,0.019193994916944932,0.05685135618794734,0.7629661197980411,0.3475569886924629,1806.6479961369298,7.16978689492745
46,0279,boffin,3466.3580226741774,0.33301484681103755,0.12443844204348403,0.00014289488546439128,0.007339265218889105,0.03174495070345308,0.12891433761732718,0.7686546699444871,1498.0689946419163,2.1730944946691473
22,0279,boffin,2833.529193740885,0.2836334183514727,0.11361887965062564,4.808417381622151e-05,0.004680372385009118,0.025220279727616465,0.3442021146776659,0.5362875746338619,1598.4353931951616,5.004692182503579
15,0279,boffin,2269.5128982625615,0.3357331860700271,0.08799995043554759,0.00014349456859805726,0.016658289579235284,0.048690579852053786,0.8556986133117074,0.43450320917630325,1834.4186926542818,7.162166509611347
11,0279,boffin,4155.174282425464,0.40319755612545777,0.0730030174799578,0.00010399451133585743,0.0025826746657728354,0.020018719324147175,0.046248717268754104,0.8228066805634764,1590.7384535467102,0.6689438374768982
7,0279,boffin,1981.8424643809008,0.3376336730576098,0.09870357338337628,0.0006275141604842046,0.023461102392270033,0.08529296460235568,0.6299735086611465,0.35966976712669796,2049.61969724543,5.133507424314317
36,0279,boffin,3558.4382265079043,0.33064803222227024,0.1401901034386357,9.734051311532192e-05,0.005756516712730609,0.026590906621941895,0.22818769753858723,0.7250476540634005,1623.352119999143,3.1108476662607374
29,0279,boffin,3308.9982937325153,0.3350396097610023,0.12017962740651812,2.7005624400097337e-05,0.0017458213710359648,0.023701432006302616,0.05113249286235519,0.8781400005395035,1496.3264372993297,1.5356213557150449
59,0279,boffin,3366.9144344326774,0.31029449590138264,0.12299028479893484,3.125143781489366e-05,0.0011799488826431726,0.016649290779434125,0.005760232147658827,0.9007272062347057,1544.2580974291702,1.1956606619511543
