data,vocal_type,day,vocal_int,timepoint,animal_id,colony
0.07272727272727272,co,5,1,20,0278,boffin
0.01818181818181818,ph,5,2,20,0278,boffin
0.7,sq,5,3,20,0278,boffin
0.17272727272727273,ch,5,4,20,0278,boffin
0.03636363636363636,other,5,5,20,0278,boffin
0.15384615384615385,sc,31,0,21,0278,boffin
0.7912087912087912,co,31,1,21,0278,boffin
0.054945054945054944,ph,31,2,21,0278,boffin
0.0,sq,31,3,21,0278,boffin
0.0,ch,31,4,21,0278,boffin
0.0,other,31,5,21,0278,boffin
0.047619047619047616,sc,27,0,22,0278,boffin
0.9285714285714286,co,27,1,22,0278,boffin
0.011904761904761904,ph,27,2,22,0278,boffin
0.0,sq,27,3,22,0278,boffin
0.0,ch,27,4,22,0278,boffin
0.011904761904761904,other,27,5,22,0278,boffin
0.0,sc,1,0,23,0278,boffin
0.3684210526315789,co,1,1,23,0278,boffin
0.21052631578947367,ph,1,2,23,0278,boffin
0.2631578947368421,sq,1,3,23,0278,boffin
0.12280701754385964,ch,1,4,23,0278,boffin
0.03508771929824561,other,1,5,23,0278,boffin
0.9646017699115044,sc,57,0,0,0279,boffin
0.02654867256637168,co,57,1,0,0279,boffin
0.008849557522123894,ph,57,2,0,0279,boffin
0.0,sq,57,3,0,0279,boffin
0.0,ch,57,4,0,0279,boffin
0.0,other,57,5,0,0279,boffin
0.0,sc,3,0,1,0279,boffin
0.05069124423963134,co,3,1,1,0279,boffin
0.059907834101382486,ph,3,2,1,0279,boffin
0.35023041474654376,sq,3,3,1,0279,boffin
0.3456221198156682,ch,3,4,1,0279,boffin
0.1935483870967742,other,3,5,1,0279,boffin
0.011235955056179775,sc,24,0,2,0279,boffin
0.6404494382022472,co,24,1,2,0279,boffin
0.30337078651685395,ph,24,2,2,0279,boffin
0.033707865168539325,sq,24,3,2,0279,boffin
0.0,ch,24,4,2,0279,boffin
0.011235955056179775,other,24,5,2,0279,boffin
0.0,sc,20,0,3,0279,boffin
0.673469387755102,co,20,1,3,0279,boffin
0.0,ph,20,2,3,0279,boffin
0.21768707482993196,sq,20,3,3,0279,boffin
0.013605442176870748,ch,20,4,3,0279,boffin
0.09523809523809523,other,20,5,3,0279,boffin
0.984375,sc,53,0,4,0279,boffin
0.015625,co,53,1,4,0279,boffin
0.0,ph,53,2,4,0279,boffin
0.0,sq,53,3,4,0279,boffin
0.0,ch,53,4,4,0279,boffin
0.0,other,53,5,4,0279,boffin
0.0,sc,17,0,5,0279,boffin
0.0,co,17,1,5,0279,boffin
0.0,ph,17,2,5,0279,boffin
0.6419753086419753,sq,17,3,5,0279,boffin
0.30864197530864196,ch,17,4,5,0279,boffin
0.04938271604938271,other,17,5,5,0279,boffin
0.6323529411764706,sc,46,0,6,0279,boffin
0.19117647058823528,co,46,1,6,0279,boffin
0.014705882352941176,ph,46,2,6,0279,boffin
0.16176470588235295,sq,46,3,6,0279,boffin
0.0,ch,46,4,6,0279,boffin
0.0,other,46,5,6,0279,boffin
0.0,sc,22,0,7,0279,boffin
0.6666666666666666,co,22,1,7,0279,boffin
0.0,ph,22,2,7,0279,boffin
0.19444444444444445,sq,22,3,7,0279,boffin
0.05555555555555555,ch,22,4,7,0279,boffin
0.08333333333333333,other,22,5,7,0279,boffin
0.0,sc,15,0,8,0279,boffin
0.0,co,15,1,8,0279,boffin
0.0,ph,15,2,8,0279,boffin
0.7431693989071039,sq,15,3,8,0279,boffin
0.08196721311475409,ch,15,4,8,0279,boffin
0.17486338797814208,other,15,5,8,0279,boffin
0.007874015748031496,sc,11,0,9,0279,boffin
0.023622047244094488,co,11,1,9,0279,boffin
0.8031496062992126,ph,11,2,9,0279,boffin
0.023622047244094488,sq,11,3,9,0279,boffin
0.0,ch,11,4,9,0279,boffin
0.14173228346456693,other,11,5,9,0279,boffin
0.0,sc,7,0,10,0279,boffin
0.011494252873563218,co,7,1,10,0279,boffin
0.0,ph,7,2,10,0279,boffin
0.1839080459770115,sq,7,3,10,0279,boffin
0.7011494252873564,ch,7,4,10,0279,boffin
0.10344827586206896,other,7,5,10,0279,boffin
0.1232876712328767,sc,36,0,11,0279,boffin
0.7945205479452054,co,36,1,11,0279,boffin
0.0273972602739726,ph,36,2,11,0279,boffin
0.0410958904109589,sq,36,3,11,0279,boffin
0.0136986301369863,ch,36,4,11,0279,boffin
0.0,other,36,5,11,0279,boffin
0.35294117647058826,sc,29,0,12,0279,boffin
0.47058823529411764,co,29,1,12,0279,boffin
0.11764705882352941,ph,29,2,12,0279,boffin
0.0196078431372549,sq,29,3,12,0279,boffin
0.0196078431372549,ch,29,4,12,0279,boffin
0.0196078431372549,other,29,5,12,0279,boffin
0.9908256880733946,sc,59,0,13,0279,boffin
0.0,co,59,1,13,0279,boffin
0.009174311926605505,ph,59,2,13,0279,boffin
0.0,sq,59,3,13,0279,boffin
0.0,ch,59,4,13,0279,boffin
0.0,other,59,5,13,0279,boffin
0.9895833333333334,sc,55,0,14,0279,boffin
0.010416666666666666,co,55,1,14,0279,boffin
0.0,ph,55,2,14,0279,boffin
0.0,sq,55,3,14,0279,boffin
0.0,ch,55,4,14,0279,boffin
0.0,other,55,5,14,0279,boffin
0.9806763285024155,sc,51,0,15,0279,boffin
0.004830917874396135,co,51,1,15,0279,boffin
0.0,ph,51,2,15,0279,boffin
0.00966183574879227,sq,51,3,15,0279,boffin
0.0,ch,51,4,15,0279,boffin
0.004830917874396135,other,51,5,15,0279,boffin
0.6190476190476191,sc,41,0,16,0279,boffin
0.3523809523809524,co,41,1,16,0279,boffin
0.01904761904761905,ph,41,2,16,0279,boffin
0.0,sq,41,3,16,0279,boffin
0.009523809523809525,ch,41,4,16,0279,boffin
0.0,other,41,5,16,0279,boffin
0.0,sc,13,0,17,0279,boffin
0.29411764705882354,co,13,1,17,0279,boffin
0.17647058823529413,ph,13,2,17,0279,boffin
0.16176470588235295,sq,13,3,17,0279,boffin
0.3235294117647059,ch,13,4,17,0279,boffin
0.04411764705882353,other,13,5,17,0279,boffin
0.0,sc,9,0,18,0279,boffin
0.10256410256410256,co,9,1,18,0279,boffin
0.15384615384615385,ph,9,2,18,0279,boffin
0.5897435897435898,sq,9,3,18,0279,boffin
0.10256410256410256,ch,9,4,18,0279,boffin
0.05128205128205128,other,9,5,18,0279,boffin
0.3548387096774194,sc,38,0,19,0279,boffin
0.5913978494623656,co,38,1,19,0279,boffin
0.021505376344086023,ph,38,2,19,0279,boffin
0.010752688172043012,sq,38,3,19,0279,boffin
0.021505376344086023,ch,38,4,19,0279,boffin
0.0,other,38,5,19,0279,boffin
0.0,sc,5,0,20,0279,boffin
0.018518518518518517,co,5,1,20,0279,boffin
0.0,ph,5,2,20,0279,boffin
0.18518518518518517,sq,5,3,20,0279,boffin
0.6296296296296297,ch,5,4,20,0279,boffin
0.16666666666666666,other,5,5,20,0279,boffin
0.16037735849056603,sc,31,0,21,0279,boffin
0.8207547169811321,co,31,1,21,0279,boffin
0.0,ph,31,2,21,0279,boffin
0.009433962264150943,sq,31,3,21,0279,boffin
0.0,ch,31,4,21,0279,boffin
0.009433962264150943,other,31,5,21,0279,boffin
0.02197802197802198,sc,27,0,22,0279,boffin
0.4175824175824176,co,27,1,22,0279,boffin
0.45054945054945056,ph,27,2,22,0279,boffin
0.07692307692307693,sq,27,3,22,0279,boffin
0.01098901098901099,ch,27,4,22,0279,boffin
0.02197802197802198,other,27,5,22,0279,boffin
0.0,sc,1,0,23,0279,boffin
0.0,co,1,1,23,0279,boffin
0.02040816326530612,ph,1,2,23,0279,boffin
0.30612244897959184,sq,1,3,23,0279,boffin
0.673469387755102,ch,1,4,23,0279,boffin
0.0,other,1,5,23,0279,boffin
0.875,sc,57,0,0,0280,boffin
0.11904761904761904,co,57,1,0,0280,boffin
0.005952380952380952,ph,57,2,0,0280,boffin
0.0,sq,57,3,0,0280,boffin
0.0,ch,57,4,0,0280,boffin
0.0,other,57,5,0,0280,boffin
0.0,sc,3,0,1,0280,boffin
0.02702702702702703,co,3,1,1,0280,boffin
0.02702702702702703,ph,3,2,1,0280,boffin
0.24324324324324326,sq,3,3,1,0280,boffin
0.4594594594594595,ch,3,4,1,0280,boffin
0.24324324324324326,other,3,5,1,0280,boffin
0.0,sc,24,0,2,0280,boffin
0.4074074074074074,co,24,1,2,0280,boffin
0.5185185185185185,ph,24,2,2,0280,boffin
0.0,sq,24,3,2,0280,boffin
0.0,ch,24,4,2,0280,boffin
0.07407407407407407,other,24,5,2,0280,boffin
0.0,sc,20,0,3,0280,boffin
0.5043478260869565,co,20,1,3,0280,boffin
0.017391304347826087,ph,20,2,3,0280,boffin
0.19130434782608696,sq,20,3,3,0280,boffin
0.10434782608695652,ch,20,4,3,0280,boffin
0.1826086956521739,other,20,5,3,0280,boffin
0.8994413407821229,sc,53,0,4,0280,boffin
0.08379888268156424,co,53,1,4,0280,boffin
0.0111731843575419,ph,53,2,4,0280,boffin
0.00558659217877095,sq,53,3,4,0280,boffin
0.0,ch,53,4,4,0280,boffin
0.0,other,53,5,4,0280,boffin
0.0,sc,17,0,5,0280,boffin
0.75,co,17,1,5,0280,boffin
0.039473684210526314,ph,17,2,5,0280,boffin
0.05263157894736842,sq,17,3,5,0280,boffin
0.10526315789473684,ch,17,4,5,0280,boffin
0.05263157894736842,other,17,5,5,0280,boffin
0.4473684210526316,sc,46,0,6,0280,boffin
0.4298245614035088,co,46,1,6,0280,boffin
0.0,ph,46,2,6,0280,boffin
0.10526315789473684,sq,46,3,6,0280,boffin
0.008771929824561403,ch,46,4,6,0280,boffin
0.008771929824561403,other,46,5,6,0280,boffin
0.0,sc,22,0,7,0280,boffin
0.616822429906542,co,22,1,7,0280,boffin
0.09345794392523364,ph,22,2,7,0280,boffin
0.22429906542056074,sq,22,3,7,0280,boffin
0.056074766355140186,ch,22,4,7,0280,boffin
0.009345794392523364,other,22,5,7,0280,boffin
0.0,sc,15,0,8,0280,boffin
0.3879310344827586,co,15,1,8,0280,boffin
0.02586206896551724,ph,15,2,8,0280,boffin
0.5344827586206896,sq,15,3,8,0280,boffin
0.04310344827586207,ch,15,4,8,0280,boffin
0.008620689655172414,other,15,5,8,0280,boffin
0.0,sc,11,0,9,0280,boffin
0.17592592592592593,co,11,1,9,0280,boffin
0.12037037037037036,ph,11,2,9,0280,boffin
0.35185185185185186,sq,11,3,9,0280,boffin
0.17592592592592593,ch,11,4,9,0280,boffin
0.17592592592592593,other,11,5,9,0280,boffin
0.0,sc,7,0,10,0280,boffin
0.125,co,7,1,10,0280,boffin
0.09090909090909091,ph,7,2,10,0280,boffin
0.20454545454545456,sq,7,3,10,0280,boffin
0.4318181818181818,ch,7,4,10,0280,boffin
0.14772727272727273,other,7,5,10,0280,boffin
0.08653846153846154,sc,36,0,11,0280,boffin
