timepoint,animal_ID,colony,pitch,zero_crossings,duration,entropy_variance,mean_entropy,maximum_entropy,broadband,voiced_perc,bandwidth,n_peaks
19,5919,lannister,2265.821311273777,0.3191526658207007,0.11363567649281932,0.00040286548093534095,0.012899492603065844,0.060862720202454736,0.10265934539190352,0.6832706308516686,2198.0191458345803,3.59080720814049
21,5919,lannister,2536.07724818916,0.2581456326022547,0.1357369614512471,0.0001892858981357802,0.011496738550747591,0.051380578332526745,0.09902153991099759,0.5594297403113278,2006.985640327182,4.8042554946158695
23,5919,lannister,2173.3709960040264,0.32278238106945845,0.1115314843886272,0.0002001503712636552,0.011719285939553062,0.055220398619704444,0.07171796690968427,0.5695032066940376,2259.7237902278985,3.3359414404501475
25,5919,lannister,2300.0328806351554,0.34542773934561594,0.1380221718316956,0.00016025952581472146,0.008794546150046005,0.05358923479418123,0.15431683405685506,0.6782352761766677,2137.239302043278,2.986237179195156
27,5919,lannister,2566.8427702530253,0.3031225254775009,0.12957704821058852,9.531974813226027e-05,0.006357014767686096,0.03520226404318092,0.061400341791460596,0.6131593507136015,1965.072624512398,3.160691735570699
34,5919,lannister,3277.087119149772,0.32303291236224585,0.16411515330769985,1.5365447790841993e-05,0.0019371270516336607,0.017640424025376012,0.0058403634003893565,0.8264188317933,1692.0713659702315,2.0044942606333422
36,5919,lannister,3366.1192399951015,0.31806870777688584,0.16753023431594857,3.657884401846503e-05,0.006339277180436101,0.02099194114800637,0.05654661869303632,0.6152110808419361,1661.9405411818177,4.444931667608168
49,5919,lannister,3031.2329734391215,0.3024155562586131,0.18641723356009063,8.550394633670192e-05,0.0035236098630451623,0.034852374231794686,0.05393706714844926,0.6069735650851678,1738.6865659642772,2.9427614747215047
54,5919,lannister,3429.2523093373857,0.3210088650572174,0.19665759637188204,0.00010817169306040031,0.0039824700465895995,0.03415881540072464,0.0014285714285714201,0.7030735706766132,1628.576793693962,2.5650827428194236
74,5919,lannister,3442.498645875419,0.32143502828143444,0.21343159486016627,8.373030119045859e-05,0.0059447707463799,0.03278162869362647,0.06473676427092574,0.6285835488358135,1554.523597470852,3.747591787881006
1,5919,lannister,456.9787127135347,0.2984679331121671,0.18169312169312166,0.0006405643742762333,0.05044715559719914,0.1565777804383651,1.0,0.07276995305164317,2124.5342950975773,9.919366734902185
11,5915,lannister,2421.3219523120806,0.275048974434275,0.13052532123960692,0.00021170563414009666,0.014808593400725724,0.05712905997315063,0.5856700234701625,0.3529354575406356,1840.6602419757437,5.581790510809195
19,5915,lannister,2910.1037342391896,0.27677311148014283,0.10250669964955673,2.0578567086740673e-05,0.0041506255902832,0.020211479362605353,0.042773123941955093,0.544522391398313,1632.12572917781,4.4743660476128015
21,5915,lannister,2770.4044413136567,0.2672451322665894,0.07774376417233554,6.473275266764963e-05,0.004239060881630584,0.02426565414138949,0.0,0.46505190708089256,1305.7424534846352,5.1851899110957085
23,5915,lannister,2772.839728222034,0.25568766790003944,0.0950521541950113,1.2578812680246065e-05,0.0037106684828136505,0.01426926049603292,0.00714285714285714,0.4824661985268791,1658.3434996503354,4.3970835002778355
25,5915,lannister,3217.6416749138425,0.270451808817926,0.10842781557067266,5.120026086275217e-05,0.010379684462672498,0.023399485692554418,0.05827712476648645,0.32708524211883677,1617.9830601856975,7.094531279309951
27,5915,lannister,3090.2009581655825,0.29129614065465165,0.12978159684926602,2.9593520965816367e-05,0.004373550411825995,0.019694071864374146,0.05589617306100213,0.6438992991843989,1837.7162133770846,3.8720248960306303
34,5915,lannister,3330.134978915022,0.30542409508257357,0.11630763416477698,1.89687378458472e-05,0.002741009047873158,0.015340522765410392,0.025603502188868033,0.6630335846643108,1439.2894041505906,3.8925080033201596
36,5915,lannister,3474.0531511295158,0.3179462215931643,0.10795918367346932,2.59973510095737e-05,0.002838630129417735,0.018605066196452004,0.04113175675675675,0.763922647780825,1724.3880229958745,2.813226772652604
43,5915,lannister,3539.717271598811,0.3319388285592983,0.12732220160791582,4.463350323314838e-05,0.0025029303920755734,0.019238323547915426,0.0075757575757575725,0.7249405868321305,1332.1035906554077,2.9688387967665872
63,5915,lannister,3615.4984303650604,0.3268776572273958,0.14531309959881383,2.958616142775785e-05,0.0021748553274816697,0.01605991347489623,0.00997150997150997,0.7230441319503763,1120.655356454714,2.4237891430081593
15,5913,lannister,3283.4869158212846,0.3456222380937935,0.07173091458805737,4.963968092925441e-05,0.009384919139182617,0.027214502602716115,0.27678571428571425,0.681901683087028,1548.9705148432502,3.3524014778325117
19,5913,lannister,2769.431174406977,0.27817398608714994,0.11266817838246405,4.422989295101529e-05,0.006637297284256717,0.02643913477135508,0.22953388170779476,0.38748037334993857,1470.7110151836732,5.661532374575853
25,5913,lannister,2766.672588120744,0.2860255195069354,0.1035719684699276,0.0002708388646794939,0.01907586807973169,0.06284257714854859,0.2912569065567648,0.3489572969598201,1978.0041042837013,5.788198686051497
34,5913,lannister,3664.1352095478474,0.33717316543668563,0.16060900550696466,2.8332993173374816e-05,0.0037986944662577143,0.021918726972641415,0.014705882352941171,0.874783116806233,1726.5762181787068,2.667885274243179
36,5913,lannister,3360.6738348942495,0.3081736520772487,0.12334157905586472,9.402830007438446e-05,0.007371696624259446,0.029059789067161744,0.10135092777657441,0.7437947894829655,1834.4980547280627,3.5019385351404733
54,5913,lannister,3853.465043569875,0.3256919853406666,0.21716553287981863,9.628606246594593e-05,0.013128649901682282,0.04135041239447262,0.2844803482964375,0.42136118388074567,1666.37909540861,6.645037845410262
